Districte,Barri,2012,,2011,,,2010,,,2009,,,2008,,,2007,,
1,"1. el Raval","84,8",,"86,9","88,0",,"87,8","88,9",,"90,8","93,0",,"96,0","96,4",,"101,3","102,1",
1,"2. el Barri Gòtic","98,2",,"95,6","98,4",,"98,1","96,8",,"93,2","98,3",,"103,5","103,3",,"106,3","101,1",
1,"3. la Barceloneta","118,6",,"118,2","118,5",,"119,7","115,5",,"113,9","120,7",,"120,3","114,0",,"119,2","119,1",
1,"4. Sant Pere, Santa Caterina i la Ribera","99,6",,"101,2","102,1",,"100,5","101,8",,"98,5","98,6",,"102,4","103,1",,"105,2","105,1",
2,"5. el Fort Pienc","104,1",,"104,4","107,0",,"103,8","106,9",,"108,0","105,5",,"106,3","103,4",,"106,0","105,0",
2,"6. la Sagrada Família","102,0",,"104,1","104,2",,"103,8","102,8",,"101,4","101,8",,"104,1","104,3",,"107,4","104,8",
2,"7. la Dreta de l'Eixample","118,4",,"120,6","120,0",,"124,2","117,1",,"117,6","115,9",,"115,8","110,7",,"116,3","111,6",
2,"8. l'Antiga Esquerra de l'Eixample","111,5",,"113,1","114,1",,"113,4","113,5",,"114,7","112,9",,"114,8","113,3",,"116,4","114,0",
2,"9. la Nova Esquerra de l'Eixample","103,3",,"105,8","106,7",,"110,0","110,4",,"107,4","109,4",,"110,0","107,9",,"110,0","110,2",
2,"10. Sant Antoni","98,5",,"100,6","101,8",,"99,5","101,3",,"103,3","100,0",,"102,7","103,0",,"104,9","102,0",
3,"11. el Poble Sec - Parc Montjuïc","81,8",,"84,8","86,1",,"86,6","86,4",,"88,5","89,5",,"92,5","94,1",,"97,3","95,7",
3,"12. la Marina del Prat Vermell - Zona Franca",--,,--,--,,--,--,,--,--,,--,--,,--,--,
3,"13. la Marina de Port","90,4",,"86,2","85,9",,"85,4","86,4",,"89,7","86,7",,"85,8","88,0",,"89,9","89,8",
3,"14. la Font de la Guatlla","82,9",,"84,6","86,0",,"86,2","90,3",,"89,7","90,9",,"89,3","88,2",,"91,8","91,7",
3,"15. Hostafrancs","88,7",,"86,4","87,7",,"88,8","89,5",,"90,2","90,4",,"92,5","94,7",,"99,3","95,7",
3,"16. la Bordeta","83,4",,"85,7","89,9",,"90,1","92,6",,"91,7","89,1",,"92,9","91,3",,"93,5","91,9",
3,"17. Sants - Badal","89,8",,"87,1","88,2",,"86,6","90,1",,"88,9","92,5",,"96,1","95,6",,"97,0","98,8",
3,"18. Sants","89,8",,"89,5","92,1",,"90,2","93,3",,"95,1","95,1",,"97,1","98,5",,"99,8","102,0",
4,"19. les Corts","123,7",,"126,4","119,2",,"120,2","116,6",,"114,1","114,1",,"115,1","116,1",,"113,7","115,4",
4,"20. la Maternitat i Sant Ramon","107,9",,"108,5","108,5",,"109,9","112,2",,"110,4","111,9",,"111,6","109,1",,"110,4","112,1",
4,"21. Pedralbes","161,5",,"156,3","151,2",,"160,1","158,9",,"155,0","140,2",,"139,1","133,5",,"134,4","134,7",
5,"22. Vallvidrera, el Tibidabo i les Planes","111,4",,"107,1","107,0",,"106,9","107,9",,"105,3","109,8",,"112,3","105,9",,"106,3","96,2",
5,"23. Sarrià","147,8",,"146,5","141,0",,"144,8","146,3",,"143,4","143,8",,"138,2","131,9",,"134,4","134,3",
5,"24. les Tres Torres","149,8",,"152,7","150,9",,"153,8","151,6",,"157,6","155,2",,"150,4","144,9",,"142,2","140,9",
5,"25. Sant Gervasi - la Bonanova","131,7",,"129,9","133,3",,"136,2","131,3",,"133,8","128,8",,"129,4","127,2",,"135,6","127,1",
5,"26. Sant Gervasi - Galvany","133,0",,"132,8","132,0",,"132,9","133,1",,"133,1","134,6",,"131,8","127,9",,"127,1","121,9",
5,"27. el Putxet i el Farró","115,7",,"118,3","118,0",,"115,9","117,8",,"118,1","121,5",,"120,9","115,9",,"118,5","113,6",
6,"28. Vallcarca i els Penitents","107,5",,"108,8","106,4",,"100,3","101,7",,"101,6","103,0",,"105,9","100,3",,"102,7","101,2",
6,"29. el Coll","85,8",,"87,5","92,6",,"92,7","94,9",,"95,2","91,5",,"91,5","98,1",,"94,1","97,1",
6,"30. la Salut","103,5",,"101,7","102,5",,"101,3","100,0",,"99,9","97,2",,"100,1","100,1",,"102,2","100,9",
6,"31. la Vila de Gràcia","103,9",,"106,6","109,5",,"109,2","113,1",,"111,6","107,9",,"106,0","107,7",,"107,6","107,8",
6,"32. el Camp d'en Grassot i Gràcia Nova","106,0",,"105,9","107,4",,"108,0","107,7",,"107,0","107,7",,"105,9","105,6",,"107,1","105,9",
7,"33. el Baix Guinardó","92,2",,"92,5","99,0",,"98,2","95,9",,"97,0","95,6",,"96,0","96,2",,"96,0","96,2",
7,"34. Can Baró","79,7",,"82,2","81,7",,"82,4","81,9",,"83,9","86,7",,"87,4","87,6",,"88,0","83,1",
7,"35. el Guinardó","92,3",,"89,6","90,6",,"89,7","91,7",,"92,4","90,9",,"92,5","93,2",,"95,5","93,0",
7,"36. la Font d'en Fargues","96,6",,"92,8","95,6",,"93,0","90,4",,"89,7","91,5",,"94,0","91,7",,"98,6","98,3",
7,"37. el Carmel","71,9",,"73,5","74,8",,"77,6","78,2",,"74,2","77,5",,"80,5","80,0",,"83,5","82,0",
